question_index,question_id,question,eigenscore,ln_entropy,avg_token_prob,lexical_similarity,length_mean,length_std,label
0,5225754983651766092,what purpose did seasonal monsoon winds have on trade,5.242519,0.548417,0.699821,0.334534,237.2,20.29,1
1,-3290814144789249484,who got the first nobel prize in physics,1.195124,0.450607,0.733447,0.363594,92.3,84.84,1
2,8851020722386421469,when is the next deadpool movie being released,1.14681,0.881712,0.499737,0.614001,24.5,49.83,1
3,-7660771254611710392,where did the idea of fortnite come from,5.435778,0.889616,0.556479,0.15853,42.2,40.09,1
4,-8817510910624892182,which mode is used for short wave broadcast service,5.21565,0.349835,0.818941,0.371617,215,49.9,1
5,955374967862684316,the south west wind blows across nigeria between,4.535665,0.197953,0.887678,0.559789,191.4,20.4,1
6,-4340755100872459608,what does hp mean in war and order,4.519957,0.571564,0.686951,0.183526,92.1,63.96,0
7,-4752044886865067782,who wrote the first declaration of human rights,5.141579,0.703593,0.635622,0.164794,120.3,104.64,1
8,3221262508309669486,who was the governor general of india when country became independent,5.040327,0.431144,0.794687,0.238398,122.3,59.46,1
9,-3632974700795137148,who is the owner of reading football club,4.408543,0.737799,0.65479,0.331516,77.9,85.51,1
10,6117400998512150504,what happens to the rbc in acute hemolytic reaction,3.896742,0.79648,0.580715,0.199621,66.7,56.19,1
11,-7123670178204378853,where did the first african american air force unit train,4.993096,0.688546,0.63714,0.208339,86.1,85.69,1
12,-8129143127887276431,when is the next scandal episode coming out,3.126338,0.832109,0.530048,0.207013,50.8,58.0,1
13,-6965315175406025099,when is the last time the philadelphia won the superbowl,4.690108,0.694973,0.650585,0.332483,80.6,61.06,1
14,481461689673789519,who was the first lady nominated member of the rajya sabha,4.767278,0.346498,0.822986,0.321731,109.5,70.89,1
15,-3429928405660073272,what is the most current adobe flash player version,5.17262,0.537623,0.728844,0.237728,146.1,72.4,1
16,8199559637713501129,swan lake the sleeping beauty and the nutcracker are three famous ballets by,5.378455,0.271917,0.854209,0.333689,182,22.32,1
17,-1640714294501064196,how many episodes are there in dragon ball z,1.379204,0.828054,0.574527,0.255178,33.9,32.53,1
18,-303776797247457856,cast of law & order special victim unit,4.633261,0.510653,0.731943,0.14561,116.8,66.22,1
19,-3672139806378353884,who designed the garden city of new earswick,5.31103,0.66013,0.670682,0.250105,166.8,68.25,1
20,6556718257422998662,what is the first step in the evolution of the eye,5.083822,0.444782,0.75649,0.325537,156.2,72.4,1
21,3062778689902618642,where is the tv show the curse of oak island filmed,3.413393,0.429682,0.758883,0.329285,89.8,76.55,0
22,2673329117028914160,where is gall bladder situated in human body,5.35886,0.499148,0.73653,0.411063,208.4,15.09,1
23,-2162391145049066060,who is the current director of the us mint,5.516956,0.504162,0.751382,0.354297,152.4,81.32,1
24,-8487838905093003039,who was named african footballer of the year 2014,-0.387786,0.370556,0.772981,0.352778,39.4,61.82,0
25,-7855437198803764135,what is the main mineral in lithium batteries,1.451021,0.568711,0.649382,0.529596,50.3,78.85,0
26,-3129873875789425845,right to property according to the constitution of india is a,5.006594,0.485405,0.757447,0.520796,237.7,20.53,1
27,-7709111104155953766,who is the president of usa right now,1.620074,0.408632,0.760343,0.411568,54.8,60.45,0
28,-8381009484419676852,what is the use of adobe flash cs3 professional,5.265018,0.586216,0.698126,0.303884,214.1,26.67,1
29,-523751984486228566,what part of the brain is in the middle cranial fossa,4.530746,0.494874,0.738633,0.397915,134.5,65.34,1
30,-1573340396671826912,where do the greasers live in the outsiders,4.937017,0.692352,0.635031,0.269667,102.1,72.94,1
31,-6560319052930436991,who died in the plane crash greys anatomy,5.094396,0.977719,0.528639,0.121149,60.9,75.51,1
32,1658149178541467525,where do they grow hops in the us,5.157556,0.956217,0.561868,0.134898,86.4,78.42,0
33,-8463303168185775472,what's the dog's name on tom and jerry,3.976904,0.537157,0.715983,0.15671,54.9,62.56,1
34,6558406970363500511,where was the music video what ifs filmed,4.445447,0.681948,0.640149,0.299186,107.2,76.88,1
35,-461258131989129967,in which regions are most of africa petroleum and natural gas found,5.462931,0.430117,0.772112,0.317319,195,26.42,1
36,-4876736938910486341,in which sea pearl is found in india,4.890329,0.275256,0.87253,0.50503,147.6,35.1,1
37,-7976063039564136187,panda is a national animal of which country,5.196465,0.250585,0.876374,0.494173,176.6,19.48,1
38,-3617870338472078590,where does kylo ren's name come from,4.905891,0.495533,0.72573,0.232716,123.6,53.99,1
39,-5190081813109108133,how many countries are a part of opec,3.508986,0.574184,0.680066,0.163635,65.2,60.27,1
40,-5202826780373179694,what type of car is a jeep considered,4.48614,0.65653,0.683224,0.358215,71.3,55.85,1
41,2324745743680584211,where are the coastal plains of india situated,4.950063,0.47579,0.750112,0.341454,152.4,67.93,1
42,2620904320274887581,who did deion sanders go in the hall of fame as,3.586076,0.399035,0.791786,0.346533,124.8,66.3,1
43,-8650104853556692961,what is the name of manchester united stadium,0.823686,0.274944,0.809567,0.375665,114.8,89.27,0
44,1706317595158666491,who played the mother in the black stallion,4.634281,0.608937,0.684434,0.163877,95.4,81.6,1
45,-5670674709553776773,who sings the theme song for the proud family,5.144981,0.60486,0.674191,0.173982,101.1,71.78,1
46,3723628014502752965,who wrote cant get you out of my head lyrics,4.254194,0.682948,0.690063,0.175579,89.7,71.17,1
47,-5944168583179757903,who did shakespeare write his play hamlet for,5.353698,0.742017,0.623849,0.162619,98.6,77.72,1
48,-4092499579855624350,who is rose in the fall season 2,5.119986,0.568173,0.700304,0.320815,184.5,48.58,1
49,-4825429046585874047,where does the story the great gatsby take place,5.421274,0.455823,0.774382,0.378711,139.5,62.95,1
50,-2549769621272056360,when did the dallas cowboys win their last playoff game,4.510808,0.829107,0.596437,0.175631,72.1,69.52,1
51,-7799443462247366740,how did rogue get super strength and flight,3.394001,0.800243,0.59009,0.222401,68.4,59.58,1
52,2620720975912644835,who may be affected by monetary penalties imposed by the irs,5.253666,0.574727,0.69862,0.213096,187.2,53.74,1
53,-4316845615436935736,who turned out to be the mother on how i met your mother,5.376341,0.762003,0.596754,0.212373,50,59.68,1
54,8678345068092193884,who took over for batman when his back was broken,4.745553,0.739097,0.590977,0.166854,43.1,43.61,1
55,4627523927977896713,what is the corporate tax rate in great britain,1.841155,0.349647,0.826102,0.227689,67.3,65.49,1
56,-1832461906521344120,what is the meaning of the name sinead,4.915186,0.551296,0.728083,0.326704,145.4,35.5,1
57,8174037572148648768,what network is showing the monday night football game,5.153442,0.659581,0.658939,0.158318,135.6,79.75,1
58,8358137531154800533,what is the form of mozart symphony no 40,4.95435,0.516788,0.72785,0.274735,121.1,72.38,1
59,595996307760943345,what was the city of beijing previously known as,5.364354,0.677779,0.626716,0.249158,56.8,56.93,1
60,7152569300818483186,when is the fourth movie of the divergent series coming out,5.507808,0.966931,0.498361,0.133557,50.8,58.36,0
61,-7115492812897878586,where is republic of doyle supposed to take place,4.377904,0.669494,0.652728,0.257168,134.7,53.28,1
62,-7299076255108845857,what is the sentencing reform act of 1984,5.18826,0.584856,0.687824,0.292465,224.7,46.52,1
63,7983190845818424390,who will take the throne after the queen dies,5.215774,0.640111,0.665821,0.226392,120.6,85.95,0
64,3349644992728619890,who is the girl in green day 21 guns,4.190128,0.744123,0.609843,0.248317,97.5,49.53,1
65,4590422471265833514,what are the zords in the power rangers movie,5.302841,0.649606,0.665144,0.243847,93.7,79.42,1
66,4390525747986386908,who plays the voice of johnny in sing,5.394022,0.628532,0.654716,0.205794,99.4,80.12,1
67,3421591493369976475,which five year plan was affected by indo pak indo china war,5.485773,0.764438,0.606488,0.189892,67.6,59.47,0
68,2198538934964547889,what are three different types of hotel properties,4.418849,0.513252,0.725413,0.176204,77.3,59.02,0
69,-3933902576274996149,who decides the number of judges in the high court,5.087796,0.575436,0.721268,0.343826,196.1,66.93,0
70,8697610951293426933,name the process of fusion of an egg with a sperm,4.162502,0.298427,0.8654,0.482055,162,59.69,0
71,3044095641568178082,where is the national championship for college football played,5.420181,0.57267,0.695222,0.231132,149.1,97.57,1
72,3587867296617760276,the vascular layer of the eye is the,5.638712,0.34122,0.8311,0.43541,149.7,17.42,1
73,-8972183967530424533,the cuban revolt against spain was led by,5.274236,0.378452,0.791247,0.25091,160,16.9,1
74,8265744380270943125,when was the first documented case of tool mark identification,5.546708,0.566845,0.698171,0.282601,208.9,23.26,1
75,-1114133849011983215,who has won the mens singles title in the australian open tennis tournament,5.406748,0.271559,0.851173,0.2915,161.4,72.37,0
76,7646318959956236571,who has been ranked no. 1 in the latest football rankings announced by fifa,5.81254,0.758738,0.607676,0.161835,98.9,93.34,1
77,-232899194860976791,when did beds become popular in france and germany,4.857056,0.669513,0.654266,0.17513,99.4,68.35,1
78,9206636474403612005,who wrote the song the glory of love,5.363892,0.443151,0.771341,0.364796,150.9,64.85,1
79,2352051038192309240,where does the brain get its energy from,5.559076,0.753668,0.605851,0.18993,113.2,93.82,1
80,-8290462455785623591,who wrote the book the origin of species,3.702462,0.209179,0.887766,0.485197,173,31.29,1
81,1728824774090737582,who sang rip it up and start again,5.363376,0.710095,0.657667,0.181423,101.4,63.52,1
82,-7897846385260632865,where are the winter olympics and when do they start,5.010928,0.807342,0.566905,0.249322,87.6,69.59,1
83,-7350738264545175214,when does the miz and maryse show start,4.496919,0.811588,0.59838,0.172943,59.2,27.7,1
84,7306427910586845578,where was the first season of slasher filmed,4.473558,0.491819,0.737311,0.333516,142.5,64.48,1
85,1404052427196543739,who said if a tree falls in the woods and nobody hears it,5.138221,0.63703,0.670599,0.261827,72.4,61.86,1
86,2112011235189339436,turkish finnish and hungarian belong to which family of languages,4.490846,0.479786,0.744601,0.314342,122.3,65.74,1
87,-2112691997365137136,what is the point of a menstrual cup,4.614782,0.590264,0.695455,0.171612,148.9,56.1,1
88,-3533480353388646236,a bond that the issuer has the right to pay off before its maturity date,5.114742,0.394412,0.795028,0.350586,178.5,59.37,1
89,-3307908231607643449,when did united states enter world war i,4.781415,0.595254,0.681926,0.274465,111.9,89.32,1
90,761079737280110147,who has given the theory of unbalanced economic growth,4.896168,0.567016,0.700194,0.321214,233.5,13.57,1
91,3630714342371225513,where did the term spirits for alcohol come from,4.81573,0.722727,0.646075,0.233578,174.8,70.45,1
92,-6591614197125818072,who led the soldiers in ending the raid on the harper's ferry arsenal,5.746418,0.563987,0.705951,0.117699,94.3,82.48,0
93,7680180825510539122,when did disney art of animation resort open,4.839629,0.65385,0.660775,0.261868,108.1,78.09,1
94,4480034477137973992,the seed of a gymnosperm seed is made in the,-0.060943,0.112739,0.930335,0.773953,160.3,4.83,1
95,-7900537827363346667,where would a subcutaneous injection be made in the skin,5.409269,0.487263,0.752348,0.371668,188.9,54.16,1
96,5704535453361095916,where are most nutrients absorbed in the human digestive tract,5.43503,0.39621,0.79238,0.361074,223.8,14.47,1
97,-510179348025098787,what does the board of directors consist of,5.29426,0.622216,0.689502,0.190811,137.3,89.79,1
98,3262882280361419647,when do primary ossification centers appear in an embryo,5.146902,0.532632,0.724874,0.401854,214.4,12.44,1
99,-5765931546365345480,where does kevins family go in home alone 2,4.066537,0.763,0.592367,0.205009,42.9,52.53,1
100,5098377822521811712,when is season 2 of jessica jones being released,3.020864,0.826372,0.543253,0.178168,58.8,68.2,1
101,6355352627831482364,who is the most losing team in nfl history,4.827097,0.563115,0.707154,0.385998,62.3,59.6,1
102,-1241024226866484626,what is the payout for the texas bowl,5.055338,0.478698,0.77049,0.150048,87.3,64.61,1
103,8066631268978073518,what are the top five wine producing states,5.086535,0.474777,0.759357,0.313062,175.7,47.33,1
104,-3088831012491766629,what is final season of game of thrones,4.957469,0.692094,0.665715,0.24767,64.4,55.47,0
105,8620612587997496991,vikram samvat calender is official in which country,5.094304,0.241831,0.869104,0.404845,165.9,8.89,1
106,-5930016277857501798,who wrote there's a guy works down the chip shop lyrics,4.864826,0.695502,0.655677,0.224798,97.6,60.97,1
107,-3547760830383370594,what is the weight of a honda fit,4.823256,0.52585,0.746801,0.331663,91.5,55.45,1
108,4142183495658071394,an edge that is between a vertex and itself is a,5.170335,0.255474,0.873357,0.524351,177.2,7.1,1
109,5926634737519636306,when does the little couples new season start,4.843359,0.794074,0.602769,0.127852,79.1,65.99,1
110,6185983988907724243,when does bloom find out who she is,4.703449,0.898035,0.578923,0.202848,68.6,61.5,1
111,1311019403755331535,how tall is the actor who plays hagrid in harry potter,5.39582,0.594413,0.692723,0.155302,95.8,67.64,1
112,9111835660082410727,what is the job of justice of the peace,4.589315,0.467578,0.760974,0.302719,146.2,59.86,1
113,8179898753906755813,who won the oscar for best picture in 1976,0.789549,0.324497,0.795882,0.386359,69.4,80.88,1
114,-6216202368088666946,who has trained the most melbourne cup winners,5.449202,0.639105,0.680515,0.057658,101.2,81.56,1
115,3182507307097242113,who was involved in the mapp vs ohio case,4.894285,0.514922,0.731528,0.333749,159.1,59.24,1
116,8268392025144002146,who was kat slater's sisters in eastenders,4.984213,0.745358,0.603694,0.186797,94.6,65.46,1
117,3551294051380047804,the cast of a good day to die hard,4.081206,0.395957,0.796529,0.173674,85.9,53.29,1
